,precision,recall,f1-score,support
0,0.9410821214713431,0.9152454242928453,0.92798397300717,9616.0
1,0.8488501483679525,0.8925507020280812,0.8701520912547529,5128.0
accuracy,0.9073521432447097,0.9073521432447097,0.9073521432447097,0.9073521432447097
macro avg,0.8949661349196478,0.9038980631604632,0.8990680321309614,14744.0
weighted avg,0.9090036110213846,0.9073521432447097,0.9078699001893189,14744.0
