,precision,recall,f1-score,support
0,0.9923118424602104,0.975600053043363,0.983884988298228,7541.0
1,0.954824453719617,0.9855549923973644,0.9699463773537847,3946.0
accuracy,0.9790197614694872,0.9790197614694872,0.9790197614694872,0.9790197614694872
macro avg,0.9735681480899137,0.9805775227203637,0.9769156828260064,11487.0
weighted avg,0.9794342211517416,0.9790197614694872,0.9790968139457624,11487.0
