label,precision,recall,f1-score,support
0,0.74,0.97,0.84,7541
1,0.86,0.34,0.49,3946
accuracy,,,0.75,11487
macro avg,0.8,0.65,0.66,11487
weighted avg,0.78,0.75,0.72,11487
