,precision,recall,f1-score,support
0,0.8067808968282902,0.6904118136439268,0.7440739702998038,9616.0
1,0.5430544896392939,0.6899375975039002,0.6077471442068195,5128.0
accuracy,0.690246880086815,0.690246880086815,0.690246880086815,0.690246880086815
macro avg,0.6749176932337921,0.6901747055739135,0.6759105572533117,14744.0
weighted avg,0.7150561941651612,0.690246880086815,0.6966591599223741,14744.0
